,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1490,9,4,0,0
2,1494,3,6,0,0
3,1489,7,7,0,0
4,1485,11,7,0,0
5,1486,7,10,0,0
6,1479,13,11,0,0
7,1479,11,13,0,0
8,1476,10,16,1,1
9,1469,14,19,1,1
10,1463,19,20,1,1
11,1457,27,17,1,2
12,1456,22,23,1,2
13,1441,28,32,1,2
14,1434,29,38,1,2
15,1425,37,39,1,2
16,1423,33,45,1,2
17,1423,30,47,1,3
18,1406,49,45,1,3
19,1403,55,41,1,4
20,1407,47,43,1,6
21,1406,43,47,1,7
22,1380,60,56,2,7
23,1375,53,67,2,8
24,1360,70,65,2,8
25,1353,67,75,2,8
26,1335,72,87,2,9
27,1322,78,92,2,11
28,1306,81,104,2,12
29,1300,83,106,2,14
30,1296,82,110,2,15
31,1287,86,113,2,17
32,1258,95,130,3,20
33,1244,98,140,3,21
34,1235,103,141,3,24
35,1218,119,142,3,24
36,1213,106,157,3,27
37,1217,104,154,4,28
38,1209,110,154,4,30
39,1183,122,162,4,36
40,1172,128,164,4,39
41,1140,149,174,4,40
42,1133,145,181,4,44
43,1145,134,179,4,45
44,1141,137,179,4,46
45,1129,137,188,4,49
46,1102,154,195,4,52
47,1092,153,197,4,61
48,1091,141,202,4,69
49,1070,158,203,4,72
50,1056,162,209,4,76
51,1054,171,200,4,78
52,1047,174,200,4,82
53,1059,152,206,4,86
54,1033,180,199,4,91
55,1044,166,196,4,97
56,992,196,215,5,100
57,1000,182,219,5,102
58,973,176,246,5,108
59,973,170,246,5,114
60,938,194,251,6,120
61,973,156,246,6,128
62,957,177,239,7,130
63,943,183,239,7,138
64,943,184,234,7,142
65,941,177,237,7,148
66,922,178,249,7,154
67,896,206,245,7,156
68,881,192,268,7,162
69,861,208,267,7,167
70,863,197,273,7,170
71,829,222,281,7,171
72,833,218,278,7,174
73,814,215,292,10,182
74,814,211,292,10,186
75,816,208,288,11,191
76,812,222,270,11,199
77,830,193,277,11,203
78,802,240,251,13,210
79,851,180,258,16,214
80,832,205,246,18,220
81,825,201,252,18,225
82,852,162,259,18,230
83,815,205,247,18,236
84,821,198,239,18,245
85,816,180,255,18,252
86,818,169,259,18,257
87,815,179,250,20,259
88,813,171,255,21,264
89,797,194,240,22,272
90,791,192,246,24,274
91,778,199,245,24,281
92,787,185,247,24,284
93,798,166,253,24,286
94,773,199,238,24,293
95,793,173,240,24,297
96,784,170,244,25,305
97,780,166,248,26,309
98,797,162,230,27,314
99,776,169,242,27,316
100,757,185,241,27,320
101,748,187,245,27,323
102,744,197,233,28,329
103,762,180,228,28,333
104,757,179,226,28,341
105,752,172,231,28,348
106,737,182,233,28,351
107,762,166,219,28,356
108,730,194,219,28,360
109,743,171,226,29,363
110,746,159,229,30,369
111,717,173,240,30,373
112,725,165,238,30,375
113,702,182,240,30,379
114,699,180,244,30,380
115,692,194,233,30,384
116,694,182,238,30,389
117,711,161,238,30,393
118,686,186,233,30,398
119,707,152,243,30,401
120,666,188,245,31,404
121,679,177,241,33,406
122,679,151,261,33,412
123,647,187,251,33,418
124,646,182,252,33,423
125,642,174,259,33,428
