,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1486,12,5,0,0
2,1481,10,12,0,0
3,1472,14,17,0,0
4,1465,19,18,0,1
5,1459,19,24,0,1
6,1434,27,40,0,2
7,1417,37,47,0,2
8,1420,34,47,0,2
9,1392,39,69,0,3
10,1381,36,80,0,6
11,1353,55,89,2,6
12,1322,55,115,2,11
13,1281,69,141,2,12
14,1276,62,153,3,12
15,1241,81,166,3,15
16,1214,84,188,3,17
17,1183,85,214,4,21
18,1154,100,221,4,28
19,1137,113,221,4,32
20,1121,102,243,4,37
21,1087,138,237,4,41
22,1049,156,254,5,44
23,1030,148,275,6,50
24,999,134,313,6,57
25,945,164,333,7,61
26,904,174,354,8,71
27,883,169,372,8,79
28,819,199,395,9,90
29,773,196,433,10,101
30,757,190,448,10,108
31,716,217,457,12,113
32,690,222,468,13,123
33,657,190,524,15,132
34,626,202,532,15,143
35,589,238,524,15,152
36,530,237,576,18,160
37,505,230,600,19,168
38,479,211,631,20,182
39,436,268,604,24,195
40,439,256,606,25,202
41,423,276,590,25,214
42,404,243,631,28,225
43,389,250,631,29,233
44,362,261,637,30,243
45,341,240,671,30,251
46,295,261,689,31,258
47,309,252,678,31,264
48,275,277,671,32,280
49,288,250,673,32,292
50,270,253,675,33,305
51,279,234,675,33,315
52,265,255,656,33,327
53,275,227,665,34,336
54,274,222,657,37,350
55,251,235,660,38,357
56,266,230,638,39,369
57,263,223,642,41,375
58,263,234,612,41,394
59,254,234,612,41,403
60,289,213,589,43,412
61,320,190,573,43,420
62,291,209,569,43,434
63,281,208,571,43,443
64,278,203,558,43,464
65,253,218,562,43,470
66,280,194,552,48,477
67,296,186,535,51,486
68,302,193,512,52,496
69,307,194,501,53,501
70,304,196,493,54,510
71,307,167,509,54,520
72,291,182,497,54,533
73,291,167,506,54,539
74,300,164,491,55,548
75,317,171,460,55,555
76,326,155,455,55,567
77,315,163,452,55,573
78,340,152,431,57,580
79,332,168,415,58,588
80,331,146,436,59,590
81,321,161,425,61,596
82,324,159,418,61,602
83,333,136,416,61,618
84,329,137,410,62,627
85,302,152,414,62,635
86,298,153,411,62,641
87,319,136,396,62,652
88,333,131,380,62,659
89,350,123,362,64,668
90,340,116,370,65,677
91,327,117,375,65,684
92,323,125,365,66,690
93,321,126,357,66,699
94,338,113,349,66,703
95,335,127,327,67,714
96,357,107,322,67,717
97,344,119,320,68,720
98,354,108,318,68,723
99,339,135,300,68,729
100,336,99,335,70,733
101,338,89,333,70,743
102,342,102,307,70,752
103,349,79,319,70,756
104,350,98,293,70,762
105,370,96,270,70,767
106,365,97,265,70,776
107,367,97,258,70,781
108,366,81,271,71,785
109,370,86,256,72,791
110,378,60,270,74,795
111,377,83,243,74,800
112,368,85,248,75,802
113,379,70,249,77,805
114,380,81,229,78,813
115,382,80,223,78,818
116,374,85,221,79,823
117,377,85,214,79,827
118,394,63,218,79,828
119,382,77,213,79,831
120,389,67,211,80,836
121,379,74,210,80,840
122,371,70,217,80,845
123,367,66,223,80,847
124,360,73,216,81,854
125,364,66,219,81,854
126,366,56,222,81,859
127,365,62,214,81,862
128,346,81,207,81,869
129,359,72,197,81,875
130,353,59,213,81,878
131,363,63,192,81,885
132,373,58,184,81,888
133,369,66,175,81,893
134,375,63,167,81,898
135,383,47,174,81,899
136,384,53,163,81,903
137,380,58,158,81,907
138,393,45,155,83,910
139,382,58,151,83,912
140,389,50,152,83,912
141,393,50,146,84,914
142,398,47,139,84,919
143,404,43,133,84,923
144,404,54,116,84,929
145,407,48,118,84,930
146,412,44,116,84,931
147,391,46,132,85,934
148,392,51,123,85,937
149,396,35,134,85,938
150,373,55,134,85,941
151,378,46,134,85,945
152,387,44,126,85,946
153,386,40,128,85,949
154,386,39,129,85,949
155,389,35,130,85,949
156,390,38,125,86,950
157,397,43,111,86,952
158,400,44,103,86,956
159,408,28,109,86,958
160,412,21,108,86,962
161,410,27,98,86,968
162,408,26,97,86,972
163,409,27,93,87,974
164,413,26,90,87,974
165,408,28,92,87,975
166,401,31,95,87,976
167,396,35,93,87,979
168,405,25,93,87,980
169,397,34,90,87,982
170,404,26,88,87,985
171,406,25,86,87,986
172,404,30,82,87,987
173,401,33,80,87,989
174,414,29,71,87,989
175,410,28,75,88,990
176,408,33,72,88,990
177,404,22,86,88,991
178,416,24,70,88,993
179,425,12,72,88,994
180,411,23,74,88,995
181,410,20,78,88,995
182,416,26,62,88,999
183,427,18,55,88,1003
184,427,17,55,88,1004
185,429,16,50,88,1008
186,440,11,44,88,1008
187,451,10,32,88,1010
188,450,11,31,88,1011
189,455,8,29,88,1011
190,454,10,28,88,1011
191,457,5,29,88,1012
192,456,9,26,88,1012
193,455,5,30,88,1013
194,455,8,26,88,1014
195,458,6,24,88,1015
196,461,8,19,88,1015
197,459,7,22,88,1015
198,456,8,24,88,1015
199,455,3,30,88,1015
200,453,8,27,88,1015
201,456,7,25,88,1015
202,454,10,24,88,1015
203,455,6,27,88,1015
204,453,7,28,88,1015
205,460,1,27,88,1015
206,459,7,22,88,1015
207,460,6,22,88,1015
208,459,10,19,88,1015
209,463,5,18,88,1017
210,463,4,19,88,1017
211,460,9,17,88,1017
212,464,8,14,88,1017
213,465,6,15,88,1017
214,465,7,14,88,1017
215,463,8,15,88,1017
216,466,4,16,88,1017
217,466,5,14,88,1018
218,467,4,14,88,1018
219,465,5,15,88,1018
220,462,6,17,88,1018
221,464,5,16,88,1018
222,462,5,18,88,1018
223,462,6,17,88,1018
224,464,4,17,88,1018
225,458,9,18,88,1018
226,468,3,14,88,1018
227,468,9,7,88,1019
228,475,1,8,88,1019
229,468,6,10,88,1019
230,467,3,14,88,1019
231,467,2,15,88,1019
232,466,3,15,88,1019
233,468,2,14,88,1019
234,466,8,9,88,1020
235,467,5,11,88,1020
236,467,4,12,88,1020
237,465,4,14,88,1020
238,469,0,13,88,1021
239,469,1,11,88,1022
240,468,3,10,88,1022
241,470,1,10,89,1022
242,465,7,9,89,1022
243,466,6,9,89,1022
244,467,3,9,89,1024
245,464,3,12,89,1024
246,465,4,9,89,1025
247,466,1,11,89,1025
248,465,5,8,89,1025
249,468,2,8,89,1025
250,469,0,9,89,1025
251,468,3,7,89,1025
252,469,2,7,89,1025
253,465,4,9,89,1025
254,463,6,9,89,1025
255,466,2,10,89,1025
256,466,2,10,89,1025
257,467,1,10,89,1025
258,468,2,8,89,1025
259,469,2,7,89,1025
260,471,0,7,89,1025
261,471,1,6,89,1025
262,472,1,5,89,1025
263,474,0,4,89,1025
264,474,0,4,89,1025
265,472,2,4,89,1025
266,471,3,4,89,1025
267,473,0,5,89,1025
268,473,0,5,89,1025
269,473,2,3,89,1025
270,472,2,4,89,1025
271,472,3,3,89,1025
272,473,0,5,89,1025
273,475,1,2,89,1025
274,474,1,3,89,1025
275,476,1,1,89,1025
276,477,0,1,89,1025
277,476,0,2,89,1025
278,475,2,1,89,1025
279,477,1,0,89,1025
280,478,0,0,89,1025
281,478,0,0,89,1025
282,478,0,0,89,1025
283,478,0,0,89,1025
284,478,0,0,89,1025
285,478,0,0,89,1025
286,478,0,0,89,1025
287,478,0,0,89,1025
288,478,0,0,89,1025
289,478,0,0,89,1025
290,478,0,0,89,1025
291,478,0,0,89,1025
292,478,0,0,89,1025
293,478,0,0,89,1025
294,478,0,0,89,1025
295,478,0,0,89,1025
296,478,0,0,89,1025
297,478,0,0,89,1025
298,478,0,0,89,1025
299,478,0,0,89,1025
300,478,0,0,89,1025
301,478,0,0,89,1025
302,478,0,0,89,1025
303,478,0,0,89,1025
304,478,0,0,89,1025
305,478,0,0,89,1025
306,478,0,0,89,1025
307,478,0,0,89,1025
308,478,0,0,89,1025
309,478,0,0,89,1025
310,478,0,0,89,1025
311,478,0,0,89,1025
312,478,0,0,89,1025
313,478,0,0,89,1025
314,478,0,0,89,1025
315,478,0,0,89,1025
316,478,0,0,89,1025
317,478,0,0,89,1025
