,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1485,14,4,0,0
2,1487,12,4,1,0
3,1487,8,8,1,0
4,1482,13,7,1,1
5,1487,8,7,1,1
6,1486,5,11,1,1
7,1478,13,11,1,1
8,1477,8,15,1,3
9,1470,14,15,1,4
10,1462,22,14,1,5
11,1470,16,12,2,5
12,1468,15,14,3,6
13,1463,11,22,3,7
14,1456,13,27,3,7
15,1456,13,27,3,7
16,1450,21,24,3,8
17,1445,22,28,3,8
18,1443,22,29,3,9
19,1442,24,26,3,11
20,1444,20,27,3,12
21,1431,31,29,3,12
22,1434,27,28,3,14
23,1424,32,33,3,14
24,1427,29,33,3,14
25,1423,37,29,3,14
26,1419,33,37,3,14
27,1420,37,31,3,15
28,1423,28,37,4,15
29,1420,28,40,4,15
30,1419,22,47,4,15
31,1400,36,52,4,15
32,1396,52,40,4,15
33,1402,39,45,4,17
34,1394,40,52,4,17
35,1390,40,55,4,18
36,1377,50,57,4,19
37,1377,52,54,4,20
38,1372,46,64,4,21
39,1344,66,69,4,24
40,1355,53,70,4,25
41,1354,51,70,4,28
42,1348,51,76,5,28
43,1346,52,77,5,28
44,1340,59,75,5,29
45,1342,58,74,5,29
46,1355,56,62,5,30
47,1356,56,61,7,30
48,1352,47,69,7,35
49,1340,47,81,7,35
50,1301,80,87,7,35
51,1311,72,84,7,36
52,1304,66,94,8,39
53,1285,78,98,8,42
54,1270,82,107,8,44
55,1270,83,105,8,45
56,1276,77,100,9,50
57,1262,97,90,9,54
58,1284,71,93,9,55
59,1278,73,94,11,58
60,1280,76,88,13,59
61,1294,64,82,13,63
62,1290,69,79,13,65
63,1281,62,94,13,66
64,1267,73,94,13,69
65,1257,81,94,13,71
66,1264,73,94,13,72
67,1264,69,96,13,74
68,1259,79,89,13,76
69,1261,73,93,15,76
70,1247,80,98,15,78
71,1244,88,92,15,79
72,1264,71,87,16,81
73,1242,83,96,16,82
74,1252,69,99,16,83
75,1229,91,100,16,83
76,1249,77,91,16,86
77,1255,62,96,16,90
78,1228,89,96,16,90
79,1234,73,106,16,90
80,1207,96,108,16,92
81,1209,96,103,16,95
82,1199,94,111,16,99
83,1207,91,104,16,101
84,1196,89,115,16,103
85,1190,89,116,17,108
86,1196,75,120,17,112
87,1191,88,110,17,114
88,1175,99,113,17,116
89,1196,82,106,17,119
90,1174,89,119,17,121
91,1172,85,120,17,126
92,1170,86,120,17,127
93,1157,90,129,17,127
94,1160,92,121,17,130
95,1165,83,123,18,132
96,1172,81,115,18,135
97,1160,89,117,18,137
98,1174,85,106,18,138
99,1166,92,102,18,143
100,1167,92,100,18,144
101,1160,85,111,18,147
102,1152,90,111,18,150
103,1163,74,112,18,154
104,1157,76,115,18,155
105,1175,69,98,20,161
106,1170,67,102,20,164
107,1155,84,96,20,168
108,1155,84,94,20,170
109,1145,90,93,21,175
110,1149,80,97,21,177
111,1139,79,108,21,177
112,1125,94,106,21,178
113,1117,95,111,21,180
114,1128,75,119,21,181
115,1113,84,124,21,182
116,1126,70,124,21,183
117,1127,77,115,21,184
118,1118,88,112,21,185
119,1120,84,112,22,187
120,1111,90,112,22,190
121,1124,75,109,22,195
122,1125,70,112,23,196
123,1099,93,114,23,197
124,1106,77,121,23,199
125,1105,72,124,23,202
126,1095,85,121,24,202
127,1092,85,123,25,203
128,1080,101,118,26,204
129,1092,89,117,28,205
130,1102,83,106,28,212
131,1094,83,112,28,214
132,1087,84,116,28,216
133,1070,101,115,28,217
134,1086,79,116,28,222
135,1076,81,124,28,222
136,1059,106,116,28,222
137,1082,84,115,28,222
138,1064,98,118,28,223
139,1070,86,121,28,226
140,1057,90,126,28,230
141,1039,108,123,28,233
142,1046,94,127,29,236
143,1026,112,128,29,237
144,1011,112,135,30,245
145,1034,88,135,30,246
