,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1497,3,3,0,0
2,1492,7,4,0,0
3,1490,7,6,0,0
4,1492,4,7,0,0
5,1487,9,7,0,0
6,1485,10,8,0,0
7,1481,10,12,0,0
8,1484,6,12,0,1
9,1478,9,15,0,1
10,1471,18,13,0,1
11,1473,12,16,0,2
12,1468,16,16,0,3
13,1469,16,14,0,4
14,1468,13,18,0,4
15,1466,16,16,0,5
16,1456,16,25,0,6
17,1447,20,29,0,7
18,1442,19,33,0,9
19,1436,20,37,0,10
20,1427,23,42,0,11
21,1420,23,49,0,11
22,1407,39,45,0,12
23,1406,38,46,0,13
24,1404,30,55,0,14
25,1393,39,55,0,16
26,1387,37,63,2,16
27,1371,45,69,2,18
28,1366,47,71,3,19
29,1354,54,75,3,20
30,1354,53,76,3,20
31,1342,52,88,3,21
32,1333,58,90,3,22
33,1311,74,94,3,24
34,1315,61,101,3,26
35,1316,55,103,3,29
36,1297,71,102,3,33
37,1310,57,100,3,36
38,1280,76,109,3,38
39,1271,81,110,3,41
40,1264,75,117,3,47
41,1251,84,119,3,49
42,1236,95,118,3,54
43,1226,89,132,3,56
44,1227,77,142,4,57
45,1204,90,147,4,62
46,1204,96,131,5,72
47,1212,97,119,7,75
48,1201,88,134,7,80
49,1161,126,133,7,83
50,1162,110,145,7,86
51,1175,100,138,7,90
52,1163,104,140,8,96
53,1170,81,152,8,100
54,1131,114,152,8,106
55,1126,123,147,8,107
56,1132,120,142,8,109
57,1125,105,159,8,114
58,1099,110,175,8,119
59,1109,97,174,10,123
60,1085,105,188,10,125
61,1064,120,192,11,127
62,1067,107,196,12,133
63,1046,115,204,13,138
64,1025,126,207,13,145
65,1010,129,215,14,149
66,1002,131,214,14,156
67,981,142,218,14,162
68,990,127,220,15,166
69,948,140,243,15,172
70,951,133,243,16,176
71,948,127,243,16,185
72,942,121,249,16,191
73,917,133,255,18,198
74,918,115,268,18,202
75,872,156,263,19,212
76,889,149,247,19,218
77,902,150,227,19,224
78,890,133,247,19,233
79,859,159,249,19,236
80,864,151,244,20,244
81,846,147,261,20,249
82,826,157,268,20,252
83,800,165,283,20,255
84,782,178,280,20,263
85,782,152,303,20,266
86,756,179,298,21,270
87,742,173,305,22,283
88,711,191,310,22,291
89,708,184,310,22,301
90,721,159,316,23,307
91,684,177,328,23,314
92,683,170,321,22,329
93,655,169,342,23,337
94,629,177,353,23,344
95,613,196,336,24,358
96,609,197,322,25,375
97,633,162,323,26,385
98,618,168,324,28,393
99,580,200,322,29,401
100,567,198,327,30,411
101,566,186,332,31,419
102,531,199,348,31,425
103,502,209,358,32,434
104,492,200,365,32,446
105,497,176,367,32,463
106,482,176,370,32,475
107,464,184,370,32,485
108,468,192,350,32,493
109,505,163,325,31,510
110,498,165,319,31,521
111,470,177,325,31,531
112,481,149,335,31,538
113,462,156,329,31,556
114,434,172,326,31,571
115,420,170,330,31,583
116,429,161,321,31,592
117,440,148,316,31,599
118,445,140,308,32,610
119,449,137,301,33,616
120,451,152,275,34,625
121,459,114,297,34,633
122,450,119,296,35,638
123,447,126,280,37,650
124,436,133,277,38,657
125,462,124,252,38,665
126,459,108,261,39,675
127,458,115,246,39,684
128,456,113,242,40,692
129,462,97,243,40,701
130,459,95,241,40,708
131,448,107,231,40,717
132,432,111,236,41,724
133,445,98,230,42,730
134,460,86,219,42,738
135,451,93,216,42,743
136,463,84,210,41,746
137,488,74,186,44,755
138,497,76,169,45,761
139,481,82,174,45,766
140,503,55,171,43,774
141,503,68,151,43,781
142,496,54,166,43,787
143,479,66,158,42,800
144,464,80,152,43,807
145,473,68,153,43,809
146,471,75,141,42,816
147,469,66,149,42,819
148,459,70,146,43,828
149,471,58,139,43,835
150,462,67,134,43,840
151,469,50,140,43,844
152,451,59,145,44,848
153,453,67,132,44,851
154,453,59,135,44,856
155,446,63,134,44,860
156,430,67,142,44,864
157,444,58,132,44,869
158,443,62,125,44,873
159,434,65,125,44,879
160,448,53,119,43,883
161,453,66,99,43,885
162,456,46,111,44,890
163,455,41,117,44,890
164,449,48,112,43,894
165,455,44,101,44,903
166,470,38,91,44,904
167,475,29,92,44,907
168,463,37,93,45,910
169,474,25,92,45,912
170,472,30,82,44,919
171,471,45,63,45,924
172,481,33,64,45,925
173,484,31,61,45,927
