,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1494,4,5,0,0
2,1489,5,9,0,0
3,1472,17,12,0,2
4,1472,4,25,0,2
5,1454,24,23,0,2
6,1460,13,28,0,2
7,1439,28,34,0,2
8,1435,22,43,0,3
9,1413,31,55,0,4
10,1408,28,62,0,5
11,1396,31,70,0,6
12,1384,37,75,0,7
13,1370,37,86,0,10
14,1356,34,101,0,12
15,1326,47,115,0,15
16,1316,44,126,0,17
17,1297,46,143,1,17
18,1276,63,143,1,21
19,1250,72,156,1,25
20,1227,70,178,1,28
21,1202,76,194,3,31
22,1182,86,200,3,35
23,1169,73,221,4,40
24,1144,84,226,4,49
25,1101,93,255,4,54
26,1085,93,267,5,58
27,1059,100,275,5,69
28,1025,99,307,5,72
29,992,106,322,5,83
30,978,93,342,5,90
31,946,104,353,6,100
32,937,109,347,6,110
33,907,143,335,7,118
34,900,133,346,7,124
35,876,135,362,7,130
36,834,141,387,7,141
37,809,132,413,9,149
38,803,119,415,10,166
39,782,115,423,11,183
40,748,132,429,13,194
41,722,126,453,15,202
42,698,153,434,15,218
43,701,148,422,15,232
44,680,136,447,15,240
45,625,173,455,17,250
46,590,161,491,18,261
47,566,156,510,20,271
48,516,191,517,23,279
49,474,191,541,24,297
50,467,180,546,25,310
51,446,178,554,28,325
52,417,190,553,29,343
53,409,160,573,29,361
54,369,169,590,31,375
55,370,175,565,33,393
56,361,168,571,34,403
57,329,174,584,35,416
58,295,170,605,36,433
59,308,155,590,37,450
60,259,175,602,38,467
61,255,183,583,40,482
62,224,190,593,41,496
63,228,169,599,43,507
64,234,162,583,42,524
65,226,162,577,42,538
66,239,160,549,42,555
67,254,144,533,45,572
68,243,152,524,47,584
69,249,144,513,47,597
70,251,143,497,47,612
71,246,141,488,47,628
72,263,114,483,49,643
73,251,112,485,53,655
74,251,138,442,55,672
75,250,114,458,56,681
76,268,89,453,56,693
77,267,103,432,57,701
78,272,107,413,57,711
79,267,105,407,57,724
80,257,116,397,57,733
81,268,97,395,58,743
82,263,107,384,59,749
83,255,108,385,59,755
84,274,95,367,59,767
85,276,79,370,61,778
86,249,105,361,61,788
87,263,95,349,62,796
88,269,90,339,62,805
89,275,95,323,63,810
90,286,66,332,63,819
91,266,81,327,61,829
92,268,80,316,60,839
93,261,80,314,60,848
94,247,101,296,60,859
95,269,75,291,62,868
96,265,86,274,63,878
97,284,63,267,61,889
98,277,67,264,62,895
99,271,64,264,62,904
100,265,53,275,61,910
101,259,59,270,61,915
102,266,53,263,62,921
103,261,68,246,62,928
104,266,51,249,63,937
105,269,49,241,63,944
106,269,60,222,62,952
107,280,49,216,62,958
108,263,57,219,61,964
109,268,51,212,62,972
110,271,51,206,62,975
111,291,39,194,61,979
112,274,49,196,61,984
113,280,39,197,62,987
114,282,47,185,63,989
115,285,43,180,61,995
116,286,35,186,61,996
117,295,35,172,61,1001
118,294,33,170,60,1006
119,282,47,153,59,1021
120,274,49,155,59,1025
121,282,35,160,59,1026
122,280,46,147,59,1030
123,291,23,155,59,1034
124,281,30,157,60,1035
125,281,41,145,60,1036
126,280,33,148,59,1042
127,287,29,143,58,1044
128,283,31,139,58,1050
129,273,38,141,59,1051
130,287,25,132,59,1059
131,288,27,126,58,1062
132,287,31,120,58,1065
133,291,22,123,58,1067
134,291,32,105,57,1075
135,304,21,98,57,1080
136,315,18,89,57,1081
137,311,23,83,57,1086
138,316,15,86,58,1086
139,306,28,81,59,1088
140,301,15,94,59,1093
141,294,22,91,58,1096
142,288,28,89,58,1098
143,291,18,91,57,1103
144,292,15,91,57,1105
145,290,25,81,57,1107
146,291,21,83,57,1108
147,300,12,82,57,1109
148,294,18,78,57,1113
149,301,12,75,57,1115
150,303,12,68,58,1120
151,302,10,69,59,1122
152,304,9,67,59,1123
153,303,15,60,59,1125
154,310,7,59,59,1127
