,Susceptible,Exposed,Infected,Resistant,Dead
0,1500,0,3,0,0
1,1492,7,4,0,0
2,1492,5,6,0,0
3,1489,9,5,0,0
4,1487,8,8,0,0
5,1487,6,10,0,0
6,1479,8,16,0,0
7,1480,8,15,0,0
8,1473,15,15,0,0
9,1465,18,19,0,1
10,1465,16,21,0,1
11,1460,13,29,0,1
12,1451,16,34,0,2
13,1443,27,30,0,3
14,1434,29,37,0,3
15,1428,28,43,0,4
16,1415,39,43,1,6
17,1417,29,50,1,7
18,1404,34,57,1,8
19,1392,40,61,1,10
20,1383,42,68,1,10
21,1368,46,79,1,10
22,1362,54,75,1,12
23,1355,55,79,1,14
24,1347,64,77,1,15
25,1346,54,88,2,15
26,1324,69,94,2,16
27,1331,54,100,2,18
28,1333,68,80,2,22
29,1322,78,80,2,23
30,1324,56,99,2,24
31,1301,76,101,2,25
32,1292,74,109,2,28
33,1291,69,113,3,30
34,1293,57,121,3,32
35,1279,63,126,3,35
36,1272,80,113,4,38
37,1267,75,122,5,39
38,1255,80,124,5,44
39,1250,89,118,5,46
40,1242,86,128,6,47
41,1240,84,125,6,54
42,1238,62,146,6,57
43,1225,72,145,6,61
44,1214,83,139,7,67
45,1203,90,141,7,69
46,1209,72,152,8,70
47,1198,79,149,9,77
48,1192,89,143,9,79
49,1170,100,150,9,83
50,1165,98,156,9,84
51,1160,85,171,9,87
52,1136,108,169,9,90
53,1131,103,176,9,93
54,1130,104,175,10,94
55,1106,116,184,10,97
56,1108,106,189,10,100
57,1094,124,178,10,107
58,1100,110,180,10,113
59,1083,117,186,10,117
60,1078,118,185,11,122
61,1066,136,170,12,131
62,1065,124,180,13,134
63,1058,137,170,13,138
64,1059,108,192,14,144
65,1039,111,202,14,151
66,1025,113,212,15,153
67,1023,132,194,15,154
68,1040,99,204,15,160
69,1018,111,210,16,164
70,986,139,206,16,172
71,995,113,219,17,176
72,982,133,207,19,181
73,961,153,205,20,184
74,969,143,203,20,188
75,969,125,218,20,191
76,970,143,194,21,196
77,985,112,204,21,202
78,950,146,199,21,208
79,969,117,204,23,213
80,970,122,197,23,214
81,964,120,202,24,217
82,960,121,196,24,226
83,970,108,194,24,231
84,952,111,203,25,237
85,928,125,209,25,241
86,927,119,215,25,242
87,930,118,207,25,248
88,928,113,208,26,254
89,903,137,202,26,261
90,911,111,216,26,265
91,888,121,224,26,270
92,854,133,241,26,275
93,840,138,243,27,282
94,829,137,249,28,288
95,834,128,250,28,291
96,826,140,236,28,301
97,827,125,240,29,311
98,824,136,225,30,318
99,812,147,221,31,323
100,808,130,235,31,330
101,788,142,235,32,338
102,793,129,236,32,345
103,784,141,225,33,353
104,790,134,220,34,359
105,755,144,238,34,366
106,736,129,262,34,376
107,730,128,264,34,381
108,711,163,242,33,387
109,740,120,249,35,394
110,728,125,251,35,399
111,724,126,247,35,406
112,711,136,246,34,410
113,704,130,252,34,417
114,685,155,242,34,421
115,684,132,262,35,425
116,683,132,256,35,432
117,680,125,257,35,441
118,676,116,259,35,452
119,669,125,253,36,456
120,666,138,236,36,463
121,657,137,240,37,469
122,648,143,235,38,477
123,666,113,240,38,484
124,644,132,234,41,493
125,653,112,238,43,500
126,654,103,234,44,512
127,639,132,211,44,521
128,650,106,220,44,527
129,640,105,226,45,532
130,628,106,230,45,539
131,647,94,216,45,546
132,637,93,221,47,552
133,627,110,212,47,554
134,643,100,200,47,560
135,626,102,212,48,563
136,619,100,213,48,571
137,611,115,200,48,577
138,617,104,199,48,583
139,625,101,187,48,590
140,626,94,193,50,590
141,594,90,222,50,597
142,596,95,209,50,603
143,598,90,205,50,610
144,593,83,209,51,618
145,569,100,207,51,627
146,580,82,212,51,629
147,582,103,181,51,637
148,609,78,173,51,643
149,600,93,163,53,647
150,609,78,163,53,653
151,582,95,166,53,660
152,605,76,159,53,663
153,590,94,148,53,671
154,605,60,164,53,674
155,585,78,162,53,678
156,601,60,160,53,682
157,598,64,154,54,687
158,596,80,133,55,694
159,600,59,146,55,698
160,609,57,135,55,702
161,608,63,126,55,706
162,612,54,127,55,710
163,610,46,136,55,711
164,597,49,142,55,715
165,598,55,132,55,718
166,598,53,131,56,721
167,611,43,126,56,723
168,624,33,120,56,726
169,614,46,113,56,730
170,617,46,107,56,733
171,616,51,97,56,739
172,627,34,101,57,741
173,613,55,92,58,743
174,626,48,85,59,744
175,629,46,83,59,745
176,641,39,74,61,749
177,645,30,74,62,754
178,647,36,62,63,758
179,641,33,69,63,760
180,644,30,67,63,762
181,635,36,69,63,763
182,639,31,68,64,765
183,645,24,66,65,768
184,641,29,64,65,769
185,641,24,68,65,770
186,636,22,73,65,772
187,643,18,67,65,775
188,642,24,60,65,777
189,645,23,55,65,780
190,637,26,57,65,783
191,646,15,58,65,784
192,638,22,59,66,784
193,638,30,51,66,784
194,639,22,56,66,786
195,643,25,48,66,787
196,644,23,46,66,790
197,644,22,43,65,794
198,644,19,42,65,798
199,647,20,35,65,801
200,647,18,37,65,801
201,645,19,34,66,805
202,644,22,31,66,806
203,653,12,32,66,806
204,650,12,32,66,809
205,647,10,34,65,812
206,644,10,37,65,812
207,641,14,36,65,812
208,639,15,37,65,812
209,644,12,34,65,813
210,646,15,29,65,813
211,650,13,26,65,814
212,653,13,23,65,814
213,648,16,25,65,814
214,647,13,28,65,815
215,646,15,26,67,816
216,650,7,30,67,816
217,647,14,26,67,816
218,648,12,27,67,816
219,647,13,27,67,816
220,646,13,28,67,816
221,651,9,27,67,816
222,650,11,26,67,816
223,650,11,26,67,816
224,651,9,26,67,817
225,653,4,27,67,819
226,648,12,24,67,819
227,654,9,21,67,819
228,658,4,20,67,821
229,658,3,20,67,822
230,660,8,13,67,822
231,667,4,10,67,822
232,666,2,12,67,823
233,666,5,9,67,823
234,663,7,10,67,823
235,664,4,12,67,823
236,662,5,12,67,824
237,666,3,8,67,826
238,667,2,7,67,827
239,670,2,4,67,827
240,670,1,5,67,827
241,673,0,3,67,827
242,671,1,4,67,827
243,670,1,4,67,828
244,668,4,3,67,828
245,669,1,5,67,828
246,667,2,6,67,828
247,666,3,5,67,829
248,666,3,5,67,829
249,668,3,3,67,829
250,670,3,1,67,829
251,671,1,2,67,829
252,668,2,4,67,829
253,666,3,5,67,829
254,668,2,3,67,830
255,668,1,4,67,830
256,668,0,4,67,831
257,667,2,3,67,831
258,667,1,4,67,831
259,667,1,4,67,831
260,666,1,5,67,831
261,665,2,5,67,831
262,666,0,6,67,831
263,665,2,5,67,831
264,664,3,5,67,831
265,665,0,6,67,832
266,664,3,4,67,832
267,665,1,5,67,832
268,665,2,4,67,832
269,667,1,3,67,832
270,663,4,4,67,832
271,666,2,3,67,832
272,666,2,3,67,832
273,668,0,3,67,832
274,666,0,5,67,832
275,665,1,5,67,832
276,664,1,6,67,832
277,662,3,6,67,832
278,662,1,8,67,832
279,660,4,7,67,832
280,661,2,8,67,832
281,661,2,8,67,832
282,659,4,5,67,835
283,665,1,2,67,835
284,664,0,4,67,835
285,663,1,4,67,835
286,661,4,3,67,835
287,661,2,5,67,835
288,659,2,7,67,835
289,660,3,5,67,835
290,659,5,4,67,835
291,662,2,4,67,835
292,660,4,4,67,835
293,661,1,6,67,835
294,662,2,4,68,835
295,661,2,5,68,835
296,663,0,4,68,836
297,661,2,4,68,836
298,661,2,3,68,837
299,660,2,4,68,837
300,664,0,2,68,837
301,665,0,1,68,837
302,665,0,1,68,837
303,665,0,1,68,837
304,665,0,1,68,837
305,665,0,1,68,837
306,665,1,0,68,837
307,666,0,0,68,837
308,666,0,0,68,837
309,666,0,0,68,837
310,666,0,0,68,837
311,666,0,0,68,837
312,666,0,0,68,837
313,666,0,0,68,837
314,666,0,0,68,837
315,666,0,0,68,837
316,666,0,0,68,837
317,666,0,0,68,837
318,666,0,0,68,837
319,666,0,0,68,837
320,666,0,0,68,837
321,666,0,0,68,837
322,666,0,0,68,837
323,666,0,0,68,837
324,666,0,0,68,837
325,666,0,0,68,837
326,666,0,0,68,837
327,666,0,0,68,837
328,666,0,0,68,837
329,666,0,0,68,837
330,666,0,0,68,837
331,666,0,0,68,837
332,666,0,0,68,837
333,666,0,0,68,837
334,666,0,0,68,837
335,666,0,0,68,837
336,666,0,0,68,837
337,666,0,0,68,837
338,666,0,0,68,837
339,666,0,0,68,837
340,666,0,0,68,837
341,666,0,0,68,837
